account,nobs,pvals_by_lag,min_p_sent_to_pnl
0x4f93fead39b70a1824f981a54d4e55b278e9f760,313,"{'1': 0.10961958072650893, '2': 0.24858405532013456, '3': 0.17972437401548677, '4': 0.184163771664097, '5': 0.3937316376766417, '6': 0.5089298741733472, '7': 0.5452706024833769}",0.10961958072650893
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,255,"{'1': 0.1716032382656727, '2': 0.3388270738289351, '3': 0.5491089395162606, '4': 0.6626415702135499, '5': 0.4275710605760459, '6': 0.43680191283555514, '7': 0.35030344196109264}",0.1716032382656727
0x8477e447846c758f5a675856001ea72298fd9cb5,158,"{'1': 0.5546285346875581, '2': 0.15935925256721312, '3': 0.3014219522777547, '4': 0.37716942372244194, '5': 0.5479978656089457, '6': 0.6684721033103981, '7': 0.6129345517477982}",0.15935925256721312
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,148,"{'1': 0.02962280989147733, '2': 0.01832679701076202, '3': 0.0396985823216035, '4': 0.1672355716909629, '5': 0.1786329460444905, '6': 0.2697185824063641, '7': 0.39891207145324986}",0.01832679701076202
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,127,"{'1': 0.4702619182153611, '2': 0.8014484825803279, '3': 0.9249644988042854, '4': 0.980343974660221, '5': 0.993560434579908, '6': 0.9972104224357089, '7': 0.9925120976673444}",0.4702619182153611
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,142,"{'1': 0.7719001304933744, '2': 0.5124144633650034, '3': 0.7762594681961753, '4': 0.8111955553866611, '5': 0.7593876630337406, '6': 0.7410035625708489, '7': 0.8354202076350438}",0.5124144633650034
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,114,"{'1': 0.7042259171528407, '2': 0.36626429151618506, '3': 0.36748284388203006, '4': 0.34728101466596234, '5': 0.4918156591513385, '6': 0.4660947200451159, '7': 0.1505032792294642}",0.1505032792294642
0x8170715b3b381dffb7062c0298972d4727a0a63b,74,"{'1': 0.40318461302773234, '2': 0.25767581666290235, '3': 0.43257017316865, '4': 0.51658514934977, '5': 0.5971878232481729, '6': 0.6705586534859449, '7': 0.7701513515827887}",0.25767581666290235
