rel_day,mean_of_account_means,count,std,se,ci_lower,ci_upper
-3,1979.6457337302684,56,9251.179611794183,1236.2408761015067,-443.38638342868467,4402.677850889221
-2,3222.3734756337003,57,7110.722035765637,941.8381418467005,1376.3707176141672,5068.376233653234
-1,2731.720628859214,58,7718.039721533083,1013.4282645041555,745.4012304310688,4718.0400272873585
0,3098.9833698567722,58,6993.976377758197,918.3540896685921,1299.0093541063318,4898.957385607213
1,655.1301143069488,58,7492.303405088724,983.7876340249531,-1273.0936483819594,2583.353876995857
2,1871.6535662298566,57,8700.008277595522,1152.3442470408988,-386.9411579703051,4130.248290430018
3,1170.4974045878666,57,8480.664538652723,1123.2914590859623,-1031.1538552206193,3372.1486643963526
