rel_day,mean,count,std,se,ci_lower,ci_upper
-3,19139.406021952378,42,42139.514740561426,6502.26829024558,6394.960173071042,31883.851870833714
-2,33534.0773292,45,76111.10166957825,11345.973145038313,11295.969964924909,55772.184693475094
-1,49868.879487590915,44,115183.40213028397,17364.55122467158,15834.359087234618,83903.39988794722
0,26418.352552625,48,53851.130677689944,7772.741198232501,11183.7798040893,41652.92530116071
1,37780.53865190476,42,103893.60476732929,16031.131255236472,6359.521391641276,69201.55591216825
2,32940.87948687805,41,103745.54862887664,16202.332608568982,1184.30757408285,64697.45139967326
3,34618.18917817073,41,101697.02865197686,15882.407537472582,3488.670404724471,65747.70795161699
