rel_day,mean_of_account_means,count,std,se,ci_lower,ci_upper
-3,2054.4694413780394,42,3953.882761043046,610.0973553863073,858.6786248208771,3250.2602579352015
-2,3327.652728823314,45,5838.0651853508725,870.2873741012974,1621.8894755847714,5033.415982061857
-1,4362.014083538786,44,7468.811479623016,1125.9656958094859,2155.1213197521934,6568.906847325377
0,2929.0779818992246,48,4639.521215690317,669.6572056974461,1616.5498587322302,4241.606105066219
1,3571.387471779498,42,6751.193501412273,1041.7317735102185,1529.5931956994696,5613.181747859526
2,3127.1672741685825,41,6709.486185472656,1047.8456979248983,1073.389706235782,5180.944842101383
3,2984.7669687381167,41,6082.4785285836915,949.9235534155885,1122.9168040435634,4846.61713343267
