rel_day,mean,count,std,se,ci_lower,ci_upper
-3,26343.908686500003,56,92316.60095837951,12336.324710635108,2164.7122536551906,50523.105119344815
-2,31809.978994421057,57,92397.97529938263,12238.410801132897,7822.693824200578,55797.264164641536
-1,25241.255982431034,58,69435.71708381681,9117.356323332882,7371.2375886985865,43111.27437616348
0,31416.261492068967,58,90540.95802531914,11888.610226006525,8114.585449096176,54717.937535041754
1,11020.78461977586,58,44932.47644134461,5899.923201066481,-543.0648543144416,22584.634093866163
2,18441.02227563158,57,59704.647390583465,7908.073733598683,2941.1977577781636,33940.846793485
3,17028.052777473684,57,60322.90412826647,7989.963839002145,1367.7236530294813,32688.381901917885
